round,table_number,player_1,player_1_score,player_2,player_2_score
10,25,Akegapun Erbprasartsook,THA,482,-
10,26,Jason Carney,GBR,553,-
10,27,Jimoh Abdulmumin,NGA,352,-
10,28,Aditya Iyengar,IND,328,-
10,29,CharnwitI Iamudom,THA,379,-
10,30,Odette Rio,PHL,455,-
10,31,Thomson Law,HKG,379,-
10,32,Charae Worapotpisut,THA,403,-
10,33,Siu Hean Cheah,SGP,526,-
10,34,Samson Okosagah,USA,410,-
10,35,Ishika Shivalingaiah,IND,524,-
10,36,Anthony Ikolo,NGA,457,-
10,37,Mike Baron,USA,375,-
10,38,Jack Moran,GBR,440,-
10,39,Chock Heng Kong,MYS,493,-
10,40,William Kang,MYS,399,-
10,41,Gerry Carter,THA,434,-
10,42,Ryan Wee,SGP,364,-
10,43,Orlet Bullock,VCT,536,-
10,44,Thitipol Barameemuang,THA,512,-
11,1,Josh Watt,AUS,416,-
11,2,Andrew Fisher,AUS,416,-
11,3,Ben Schoenbrun,USA,482,-
11,4,Rob Robinsky,USA,427,-
11,5,David Eldar,AUS,100,-
11,5,CharnwitS Sukhumrattanaporn,THA,-100,-
11,6,Puttapong Moonsarn,THA,390,-
11,7,Nigel Richards,NZL,525,-
11,8,Soramet Mettaviharee,THA,497,-
11,9,Panupol Sujjayakorn,THA,444,-
11,10,Austin Shin,USA,445,-
11,11,Chollapat Itthi-Aree,THA,391,-
11,12,Komol Panyasophonlert,THA,457,-
11,13,David Webb,GBR,407,-
11,14,Weibin Toh,SGP,536,-
11,15,Rasheed Balogun,USA,446,-
11,16,Suyash Manchali,IND,366,-
11,17,Joshua Castellano,USA,491,-
11,18,Thacha Koowirat,THA,540,-
11,19,Alexander Gozali,IDN,447,-
11,20,Natthakorn Siriwatthanaphongsa,THA,416,-
11,21,Siu Hean Cheah,SGP,416,-
11,22,Brian Po,HKG,411,-
11,23,Dean Saldanha,CAN,397,-
11,24,Sujana Somasekar,IND,347,-
11,25,Aditya Iyengar,IND,483,-
11,26,Ming Hui Hubert Wee,SGP,429,-
11,27,Edward Okulicz,AUS,496,-
11,28,Lukeman Owolabi,IRL,468,-
11,29,Udayan Grover,IND,486,-
11,30,Marlon Prudencio,SGP,390,-
11,31,Odette Rio,PHL,360,-
11,32,Nopparuj Tipkaew,THA,508,-
11,33,Sanhanat Klanying,THA,521,-
11,34,Euclid Hui,HKG,445,-
11,35,Anthony Ikolo,NGA,432,-
